Year,Genre,Percentage,Count
1996.0,Slice of Life,1.9943019943019942,7
1996.0,School,0.8547008547008548,3
1997.0,Comedy,14.606741573033707,52
1997.0,Action,8.426966292134832,30
1997.0,Adventure,12.07865168539326,43
1997.0,Fantasy,7.303370786516854,26
1997.0,Sci-Fi,6.741573033707865,24
1997.0,Drama,3.932584269662921,14
1997.0,Romance,4.775280898876404,17
1997.0,Shounen,6.741573033707865,24
1997.0,Slice of Life,1.1235955056179776,4
1997.0,School,1.9662921348314606,7
1998.0,Comedy,12.072892938496583,53
1998.0,Action,8.656036446469248,38
1998.0,Adventure,9.79498861047836,43
1998.0,Fantasy,4.783599088838269,21
1998.0,Sci-Fi,9.339407744874716,41
1998.0,Drama,5.922551252847381,26
1998.0,Romance,4.328018223234624,19
1998.0,Shounen,5.239179954441914,23
1998.0,Slice of Life,2.050113895216401,9
1998.0,School,2.5056947608200453,11
1999.0,Comedy,12.978723404255318,61
1999.0,Action,7.872340425531915,37
1999.0,Adventure,11.27659574468085,53
1999.0,Fantasy,5.106382978723404,24
1999.0,Sci-Fi,8.51063829787234,40
1999.0,Drama,5.319148936170213,25
1999.0,Romance,5.106382978723404,24
1999.0,Shounen,5.319148936170213,25
1999.0,Slice of Life,1.9148936170212765,9
1999.0,School,2.553191489361702,12
2000.0,Comedy,11.989795918367346,47
2000.0,Action,5.612244897959184,22
2000.0,Adventure,6.887755102040815,27
2000.0,Fantasy,4.591836734693878,18
2000.0,Sci-Fi,7.3979591836734695,29
2000.0,Drama,6.63265306122449,26
2000.0,Romance,4.081632653061225,16
2000.0,Shounen,6.377551020408164,25
2000.0,Slice of Life,1.530612244897959,6
2000.0,School,2.0408163265306123,8
2001.0,Comedy,11.834319526627219,60
2001.0,Action,8.284023668639055,42
2001.0,Adventure,7.297830374753452,37
2001.0,Fantasy,5.522682445759369,28
2001.0,Sci-Fi,7.889546351084813,40
2001.0,Drama,6.70611439842209,34
2001.0,Romance,4.536489151873767,23
2001.0,Shounen,5.522682445759369,28
2001.0,Slice of Life,3.353057199211045,17
2001.0,School,1.9723865877712032,10
2002.0,Comedy,10.320284697508896,58
2002.0,Action,7.6512455516014235,43
2002.0,Adventure,6.583629893238434,37
2002.0,Fantasy,4.98220640569395,28
2002.0,Sci-Fi,8.896797153024911,50
2002.0,Drama,5.6939501779359425,32
2002.0,Romance,5.160142348754448,29
2002.0,Shounen,6.227758007117438,35
2002.0,Slice of Life,2.6690391459074734,15
2002.0,School,2.491103202846975,14
2003.0,Comedy,10.586319218241043,65
2003.0,Action,7.491856677524431,46
2003.0,Adventure,6.677524429967427,41
2003.0,Fantasy,5.374592833876222,33
2003.0,Sci-Fi,8.143322475570033,50
2003.0,Drama,5.863192182410423,36
