name,score,total_runtime,type,episodes,duration_minutes
Pokemon Advanced Generation,7.18,4608.0,TV,192.0,24.0
Pokemon Diamond & Pearl,7.24,4393.0,TV,191.0,23.0
Kaitou Saint Tail,7.64,946.0,TV,43.0,22.0
Sumomomo Momomo: Chijou Saikyou no Yome,7.01,528.0,TV,22.0,24.0
Otome wa Boku ni Koishiteru,7.13,288.0,TV,12.0,24.0
Happiness!,6.5,300.0,TV,12.0,25.0
Ghost Hunt,7.9,625.0,TV,25.0,25.0
Kishin Douji Zenki,7.07,1224.0,TV,51.0,24.0
Get Ride! AMDriver,6.45,1224.0,TV,51.0,24.0
Code Geass: Hangyaku no Lelouch,8.77,600.0,TV,25.0,24.0
Bakumatsu Kikansetsu Irohanihoheto,7.18,624.0,ONA,26.0,24.0
Taiho Shichau zo,7.5,120.0,OVA,4.0,30.0
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,6.98,299.0,TV,13.0,23.0
Kiniro no Corda: Primo Passo,7.61,600.0,TV,25.0,24.0
Mouryou Senki Madara,6.21,120.0,OVA,2.0,60.0
Gift: Eternal Rainbow,6.72,288.0,TV,12.0,24.0
Submarine 707R,6.33,100.0,OVA,2.0,50.0
009-1,6.33,300.0,TV,12.0,25.0
Stratos 4 Advance Kanketsu-hen,7.02,54.0,OVA,2.0,27.0
Spectral Force,4.0,48.0,OVA,2.0,24.0
Aoi Umi no Tristia,5.77,54.0,OVA,2.0,27.0
Tenpou Ibun: Ayakashi Ayashi,6.97,500.0,TV,25.0,20.0
Mamoru-kun ni Megami no Shukufuku wo!,7.16,528.0,TV,24.0,22.0
Bartender,7.45,253.0,TV,11.0,23.0
Legendz: Yomigaeru Ryuuou Densetsu,7.43,1200.0,TV,50.0,24.0
Kujibiki♥Unbalance,6.34,276.0,TV,12.0,23.0
Hataraki Man,7.09,231.0,TV,11.0,21.0
Jigoku Shoujo Futakomori,8.02,650.0,TV,26.0,25.0
Inma Daitoshi: Beast City,5.74,78.0,OVA,3.0,26.0
Arcade Gamer Fubuki,5.31,116.0,OVA,4.0,29.0
Panyo Panyo Di Gi Charat,6.8,384.0,TV,48.0,8.0
Casshern: Robot Hunter,6.45,108.0,OVA,4.0,27.0
Eat-Man '98,6.85,276.0,TV,12.0,23.0
Galaxy Angel Rune,6.47,312.0,TV,13.0,24.0
Red Garden,7.16,506.0,TV,22.0,23.0
Soukou no Strain,7.11,312.0,TV,13.0,24.0
Super Robot Taisen OG: Divine Wars,6.9,600.0,TV,25.0,24.0
Katekyo Hitman Reborn!,8.29,4872.0,TV,203.0,24.0
