name,score,total_runtime,type,episodes,duration_minutes
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,7.37,625.0,TV,25.0,25.0
Yuke! Shouei-kun,4.36,12.0,ONA,6.0,2.0
Chuunibyou demo Koi ga Shitai! Lite,7.3,36.0,ONA,6.0,6.0
Haiyore! Nyaruko-san W,7.38,288.0,TV,12.0,24.0
Bakuman.: Deraman.,7.3,50.0,Special,2.0,25.0
Nagareboshi Lens Specials,6.3,3.0,Special,3.0,1.0
Hagure Yuusha no Aesthetica: Hajirai Ippai,6.71,24.0,Special,6.0,4.0
Tamayura: More Aggressive,7.55,288.0,TV,12.0,24.0
Senyuu.,7.43,52.0,TV,13.0,4.0
Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,5.96,24.0,Special,6.0,4.0
Saint☆Oniisan,7.59,40.0,OVA,2.0,20.0
Backstage Idol Story,5.45,80.0,TV,8.0,10.0
Senki Zesshou Symphogear G,7.51,299.0,TV,13.0,23.0
Beast Saga,5.85,418.0,TV,38.0,11.0
Hataraku Maou-sama!,7.95,312.0,TV,13.0,24.0
Girls & Panzer Specials,7.21,72.0,Special,6.0,12.0
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,7.13,54.0,OVA,2.0,27.0
Hitou Meguri Kakure Yu: Mao-hen,6.42,30.0,OVA,2.0,15.0
Tsun Tsun Maid wa Ero Ero Desu,7.15,30.0,OVA,2.0,15.0
Koiito Kinenbi The Animation,7.63,56.0,OVA,2.0,28.0
Chikan no Licence,6.3,38.0,OVA,2.0,19.0
Ginga Kikoutai Majestic Prince,7.41,552.0,TV,24.0,23.0
Tamagotchi! Yume Kira Dream,6.21,1127.0,TV,49.0,23.0
Zettai Junshu☆Kyousei Kozukuri Kyokashou!!,6.79,60.0,OVA,2.0,30.0
Shin Kyojin no Hoshi,6.35,1300.0,TV,52.0,25.0
Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,6.78,21.0,Special,7.0,3.0
Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,6.35,18.0,Special,6.0,3.0
Fantasista Doll,6.21,276.0,TV,12.0,23.0
Zekkyou Gakkyuu,5.41,3.0,Special,3.0,1.0
Crash!,5.56,3.0,Special,3.0,1.0
Hiyokoi (2012),6.81,3.0,ONA,3.0,1.0
Qin Shi Ming Yue: Wanli Changcheng,7.32,814.0,TV,37.0,22.0
Yuyushiki,7.43,276.0,TV,12.0,23.0
Happy☆Lucky Bikkuriman,6.68,1104.0,TV,46.0,24.0
Magical Hat,5.66,825.0,TV,33.0,25.0
Nurarihyon no Mago OVA,7.82,46.0,OVA,2.0,23.0
Shakotan★Boogie,6.66,220.0,OVA,4.0,55.0
Saki Achiga-hen: Episode of Side-A Specials,7.61,120.0,Special,4.0,30.0
Kokoro Connect: Michi Random,8.11,108.0,Special,4.0,27.0
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,7.63,288.0,TV,12.0,24.0
Kamisama no Inai Nichiyoubi,7.45,276.0,TV,12.0,23.0
Tokyo Ravens,7.7,552.0,TV,24.0,23.0
Miracle Psychicer Seizan,6.73,150.0,OVA,5.0,30.0
Kuro to Kin no Akanai Kagi.,5.77,58.0,OVA,2.0,29.0
Greek Roman Sinhwa: Olympus Guardian,6.37,975.0,TV,39.0,25.0
Karneval,7.28,312.0,TV,13.0,24.0
Toaru Kagaku no Railgun S,8.11,576.0,TV,24.0,24.0
Ro-Kyu-Bu! SS,7.22,288.0,TV,12.0,24.0
Nagi no Asu kara,8.22,598.0,TV,26.0,23.0
Mouryou no Nie,6.27,48.0,OVA,2.0,24.0
Sword Art Online: Sword Art Offline,6.35,99.0,Special,9.0,11.0
Saki Zenkoku-hen,7.47,312.0,TV,13.0,24.0
Machine Robo: Butchigiri Battle Hackers,6.27,775.0,TV,31.0,25.0
Choujigen Game Neptune The Animation,7.12,288.0,TV,12.0,24.0
Choboraunyopomi Gekijou Ai Mai Mii,5.87,39.0,TV,13.0,3.0
Girls & Panzer: Shoukai Shimasu!,6.62,46.0,Special,2.0,23.0
Aku no Hana,7.18,312.0,TV,13.0,24.0
Bakumatsu Gijinden Roman,6.17,276.0,TV,12.0,23.0
"Yondemasu yo, Azazel-san. Z",7.64,156.0,TV,13.0,12.0
Efficus: Kono Omoi o Kimi ni...,5.43,80.0,OVA,2.0,40.0
Inferious Wakusei Senshi Gaiden Condition Green,5.5,150.0,OVA,6.0,25.0
Chikkun Takkun,5.47,552.0,TV,23.0,24.0
Ishida to Asakura,5.98,24.0,TV,12.0,2.0
Usavich V,6.48,13.0,TV,13.0,1.0
Love Lab,7.43,312.0,TV,13.0,24.0
Dansai Bunri no Crime Edge,6.8,312.0,TV,13.0,24.0
Vanquished Queens,6.16,96.0,OVA,4.0,24.0
Dog Days'',7.11,276.0,TV,12.0,23.0
Komachi to Dangorou,5.12,32.0,ONA,4.0,8.0
Norakuro-kun,6.59,1250.0,TV,50.0,25.0
Photokano,6.31,299.0,TV,13.0,23.0
"Boku no Imouto wa ""Osaka Okan""",5.85,36.0,TV,12.0,3.0
Tamako Market,7.38,276.0,TV,12.0,23.0
Dokidoki! Precure,6.87,1176.0,TV,49.0,24.0
Surf Side High-School,5.57,140.0,TV,20.0,7.0
Perrine Monogatari Specials,6.31,90.0,Special,2.0,45.0
One Piece: Glorious Island,7.3,10.0,Special,2.0,5.0
Soushisouai Note The Animation,7.3,56.0,OVA,2.0,28.0
Shin Kyojin no Hoshi II,6.31,575.0,TV,23.0,25.0
Shingeki no Kyojin,8.48,600.0,TV,25.0,24.0
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,6.13,20.0,Special,5.0,4.0
Shin Shounan Bakusouzoku Arakure Knight,5.56,86.0,OVA,2.0,43.0
Devil Survivor 2 The Animation,7.0,312.0,TV,13.0,24.0
Arata Kangatari,6.6,288.0,TV,12.0,24.0
Suisei no Gargantia,7.58,299.0,TV,13.0,23.0
Ranpou,6.22,525.0,TV,21.0,25.0
Ojamanga Yamada-kun,6.88,2575.0,TV,103.0,25.0
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.45,312.0,TV,13.0,24.0
Kotoura-san: Haruka no Heya,6.13,12.0,ONA,6.0,2.0
Ane Koi: Suki Kirai Daisuki.,7.02,52.0,OVA,2.0,26.0
Hanamaru Youchien: Panda Neko Taisou,6.3,8.0,Special,8.0,1.0
Pro Golfer Saru (TV),6.59,2860.0,TV,143.0,20.0
Kakumeiki Valvrave,7.25,288.0,TV,12.0,24.0
Jigoku Youchien,4.57,24.0,ONA,12.0,2.0
Kami nomi zo Shiru Sekai: Megami-hen,8.2,288.0,TV,12.0,24.0
SKET Dance: SD Character Flash Anime,6.67,16.0,ONA,16.0,1.0
gdgd Fairies 2,7.05,180.0,TV,12.0,15.0
Kiniro Mosaic,7.34,288.0,TV,12.0,24.0
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.21,288.0,TV,12.0,24.0
Inferno Cop,7.33,39.0,ONA,13.0,3.0
Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,5.5,120.0,OVA,3.0,40.0
Makai Ouji: Devils and Realist,7.16,288.0,TV,12.0,24.0
Kuroko no Basket 2nd Season,8.46,600.0,TV,25.0,24.0
Line Offline: Salaryman,6.73,342.0,TV,114.0,3.0
Ganbare! Oden-kun,5.88,306.0,TV,102.0,3.0
Namiuchigiwa no Muromi-san,7.02,156.0,TV,13.0,12.0
Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,7.02,58.0,OVA,2.0,29.0
Gin no Saji,8.15,253.0,TV,11.0,23.0
Nyuuin Bokki Monogatari: Odaijini!,6.0,90.0,OVA,2.0,45.0
Hayate no Gotoku! Cuties,7.12,288.0,TV,12.0,24.0
Koukai Benjo The Animation,6.2,60.0,OVA,2.0,30.0
Monogatari Series: Second Season,8.77,624.0,TV,26.0,24.0
Soukyuu no Fafner: Dead Aggressor - Exodus,7.44,312.0,TV,13.0,24.0
Aiura,6.76,48.0,TV,12.0,4.0
Agigongryong Doolie (2009),5.58,520.0,TV,26.0,20.0
Dallyeola Hani,6.67,364.0,TV,13.0,28.0
Lolling Seutajeu,5.15,676.0,TV,26.0,26.0
Wala! Pyeon-uijeom The Animation,5.62,576.0,TV,24.0,24.0
Pokemon Best Wishes! Season 2: Episode N,6.9,308.0,TV,14.0,22.0
Chokkyuu Hyoudai Robot Anime: Straight Title,5.89,180.0,TV,12.0,15.0
Gakkatsu! 2nd Season,6.52,125.0,TV,25.0,5.0
Akai Koudan Zillion Specials,6.23,126.0,Special,3.0,42.0
Toki no Daichi: Hana no Oukoku no Majo,5.5,90.0,OVA,3.0,30.0
Shouwa Ahozoushi Akanuke Ichiban!,6.79,550.0,TV,22.0,25.0
Peeping Life: World History,6.01,200.0,ONA,40.0,5.0
Machine-Doll wa Kizutsukanai,7.3,276.0,TV,12.0,23.0
Pretty Rhythm: Rainbow Live,7.7,1071.0,TV,51.0,21.0
Wanna. SpartanSex Spermax!!!,6.88,60.0,OVA,2.0,30.0
Log Horizon,8.08,625.0,TV,25.0,25.0
Futari wa Milky Holmes,5.84,144.0,TV,12.0,12.0
Hetalia: The Beautiful World Specials,7.82,20.0,Special,4.0,5.0
Jinzou Konchuu Kabutoborg VxV,6.51,1248.0,TV,52.0,24.0
Cosmic Break,6.11,28.0,ONA,4.0,7.0
Shin Pro Golfer Saru,6.63,150.0,TV,10.0,15.0
Senran Kagura Specials,6.5,24.0,Special,6.0,4.0
Tenpou Suikoden Neo,4.88,10.0,TV,5.0,2.0
Natsuyasumi.,5.95,42.0,ONA,3.0,14.0
Kingdom 2nd Season,8.48,975.0,TV,39.0,25.0
Senyuu. Specials,7.13,20.0,Special,4.0,5.0
Cyclops Shoujo Saipuu,5.95,24.0,ONA,12.0,2.0
Sukitte Ii na yo.: Mei and Marshmallow,6.79,10.0,Special,10.0,1.0
Dog Days' Specials,6.87,13.0,Special,13.0,1.0
Pink Lady Monogatari: Eikou no Tenshi-tachi,5.7,825.0,TV,33.0,25.0
Chingou Muchabee,5.93,780.0,TV,26.0,30.0
Yanase Takashi Märchen Gekijou,6.0,630.0,OVA,30.0,21.0
Tantei Shounen Kageman,6.67,429.0,TV,39.0,11.0
Garden,6.68,54.0,OVA,2.0,27.0
Jewelpet Happiness,6.85,1248.0,TV,52.0,24.0
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk,5.62,140.0,OVA,4.0,35.0
Mushibugyou,7.43,598.0,TV,26.0,23.0
Diabolik Lovers,5.68,180.0,TV,12.0,15.0
Ryou Seibai!: Gakuen Bishoujo Seisai Hiroku,7.0,60.0,OVA,2.0,30.0
Mesu Nochi Torare,6.11,28.0,OVA,2.0,14.0
Kotowari: Kimi no Kokoro no Koboreta Kakera,6.67,58.0,OVA,2.0,29.0
Non Non Biyori,8.0,288.0,TV,12.0,24.0
Konpora Kid,6.0,650.0,TV,26.0,25.0
Non-tan to Issho,6.64,1315.0,TV,263.0,5.0
Poka Poka Mori no Rascal,5.38,260.0,TV,52.0,5.0
Kyoufu Shinbun,5.05,60.0,OVA,2.0,30.0
Souya Monogatari,6.18,525.0,TV,21.0,25.0
Futago no Monchhichi,6.0,650.0,TV,130.0,5.0
Omakase Scrappers,6.76,975.0,TV,39.0,25.0
Miyakawa-ke no Kuufuku,6.56,50.0,ONA,10.0,5.0
Udauda Yatteru Hima wa Nee!,6.38,90.0,OVA,2.0,45.0
Genei wo Kakeru Taiyou,6.48,312.0,TV,13.0,24.0
Kunimatsu-sama no Otoridai,6.6,1012.0,TV,46.0,22.0
Zettai Bouei Leviathan,6.37,260.0,TV,13.0,20.0
Bemubemu Hunter Kotengu Tenmaru,5.34,475.0,TV,19.0,25.0
Neon The Animation,5.42,30.0,ONA,6.0,5.0
Danchi Tomoo,6.16,1872.0,TV,78.0,24.0
DD Hokuto no Ken (2013),6.57,312.0,TV,13.0,24.0
Glass no Kamen Desu ga,5.44,9.0,TV,3.0,3.0
Haitai Nanafa 2nd Season,6.1,39.0,TV,13.0,3.0
Grisaia no Kajitsu,7.67,299.0,TV,13.0,23.0
Ketsuekigata-kun!,6.69,24.0,TV,12.0,2.0
Dibetagurashi: Ahiru no Seikatsu,5.97,117.0,TV,39.0,3.0
Kimi no Iru Machi,7.09,240.0,TV,12.0,20.0
Kakushi Dere,7.05,69.0,OVA,3.0,23.0
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,6.39,50.0,OVA,2.0,25.0
Kuruneko: Kurunekobin,6.4,28.0,Special,4.0,7.0
Kuruneko: Nyaalock Holmes no Bouken,6.41,24.0,Special,4.0,6.0
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",6.39,276.0,TV,12.0,23.0
Stella Jogakuin Koutou-ka C³-bu,6.57,312.0,TV,13.0,24.0
Daitoshokan no Hitsujikai,7.04,276.0,TV,12.0,23.0
Inu to Hasami wa Tsukaiyou,6.66,288.0,TV,12.0,24.0
Sparrow's Hotel,5.53,36.0,TV,12.0,3.0
Nuki Doki! Tenshi to Akuma no Sakusei Battle,7.03,58.0,OVA,2.0,29.0
Pokemon Best Wishes! Season 2: Decolora Adventure,6.48,440.0,TV,20.0,22.0
Papa no Iukoto wo Kikinasai! OVA,7.44,50.0,OVA,2.0,25.0
Tamako Market Specials,6.31,24.0,Special,6.0,4.0
Cheonbangjichuk Hani,6.47,260.0,TV,13.0,20.0
Golden Time,7.88,576.0,TV,24.0,24.0
Otokogi,6.83,156.0,OVA,3.0,52.0
Uchouten Kazoku,7.94,312.0,TV,13.0,24.0
Danball Senki Wars,7.28,740.0,TV,37.0,20.0
Houkago no Pleiades (TV),6.78,276.0,TV,12.0,23.0
Pyuu to Fuku! Jaguar,6.77,90.0,OVA,3.0,30.0
Tanken Driland: 1000-nen no Mahou,6.07,1224.0,TV,51.0,24.0
Freezing Vibration,6.99,276.0,TV,12.0,23.0
Forza! Hidemaru,6.17,650.0,TV,26.0,25.0
Dalam-iwa Goseumdochi,6.44,20.0,TV,,20.0
Rozen Maiden (2013),7.41,312.0,TV,13.0,24.0
Hakkenden: Touhou Hakken Ibun 2nd Season,7.76,312.0,TV,13.0,24.0
Nourin,6.92,288.0,TV,12.0,24.0
Inazuma Eleven Go: Galaxy,6.92,989.0,TV,43.0,23.0
Recorder to Randoseru Mi☆,6.76,36.0,TV,12.0,3.0
Magi: The Kingdom of Magic,8.42,625.0,TV,25.0,25.0
Servant x Service,7.76,299.0,TV,13.0,23.0
Teekyuu 2,6.83,24.0,TV,12.0,2.0
Ikeike! Momon-chan,5.45,15.0,TV,15.0,1.0
Train Heroes,5.91,624.0,TV,26.0,24.0
Tonari no Seki-kun,7.66,147.0,TV,21.0,7.0
Saimin Jutsu Zero,6.41,44.0,OVA,2.0,22.0
Kyoukai no Kanata,7.86,288.0,TV,12.0,24.0
Line Town,6.4,1200.0,TV,50.0,24.0
Yowamushi Pedal,8.09,912.0,TV,38.0,24.0
Boku wa Ou-sama (TV),5.82,288.0,TV,12.0,24.0
Little Busters!: Refrain,8.31,312.0,TV,13.0,24.0
World Fool News (TV),6.02,120.0,TV,12.0,10.0
Bakujuu Gasshin Ziguru Hazeru,4.26,12.0,TV,6.0,2.0
Gatchaman Crowds,7.4,276.0,TV,12.0,23.0
Vanquished Queens Specials,5.61,24.0,Special,4.0,6.0
Himitsukessha Taka no Tsume MAX,6.13,190.0,TV,38.0,5.0
White Album 2,7.86,299.0,TV,13.0,23.0
IS: Infinite Stratos 2,6.77,288.0,TV,12.0,24.0
Strike the Blood,7.33,576.0,TV,24.0,24.0
Kakumeiki Valvrave 2nd Season,7.37,288.0,TV,12.0,24.0
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,7.04,66.0,Special,6.0,11.0
Mazinger ZIP!,6.07,237.0,TV,237.0,1.0
Heisei Policemen!!,5.89,30.0,ONA,6.0,5.0
Mini Van,7.15,111.0,TV,37.0,3.0
Shingeki no Kyojin OVA,7.88,69.0,OVA,3.0,23.0
Gingitsune,7.21,288.0,TV,12.0,24.0
Puchitto Gargantia,6.34,13.0,ONA,13.0,1.0
Ikeike! Momon-chan Specials,5.32,3.0,Special,3.0,1.0
Spheres,6.94,780.0,TV,26.0,30.0
Genshiken Nidaime,7.51,312.0,TV,13.0,24.0
Odoriko Clinoppe,5.38,52.0,TV,26.0,2.0
Kitakubu Katsudou Kiroku,6.82,276.0,TV,12.0,23.0
Yozakura Quartet: Hana no Uta,7.56,299.0,TV,13.0,23.0
Yozakura Quartet: Tsuki ni Naku,7.58,84.0,OVA,3.0,28.0
Free!,7.56,288.0,TV,12.0,24.0
Senyuu. 2,7.55,52.0,TV,13.0,4.0
Rin x Sen + Ran -> Sem: Cross Mix,7.12,60.0,OVA,2.0,30.0
High School Agent,5.77,56.0,OVA,2.0,28.0
Taiman Blues: Ladies-hen - Mayumi,5.42,94.0,OVA,2.0,47.0
Taiman Blues: Shimizu Naoto-hen,5.31,90.0,OVA,3.0,30.0
Noobow,5.9,52.0,TV,26.0,2.0
Noobow: Na Kokoro,6.11,52.0,ONA,52.0,1.0
Kangetsu Ittou: Akuryou Kiri,5.25,90.0,OVA,2.0,45.0
Naniwa Kinyuu Den: Minami no Teiou,5.45,90.0,OVA,2.0,45.0
Rinne no Lagrange Season 2 Specials,6.38,18.0,Special,6.0,3.0
JK to Orc Heidan: Aku Buta Oni ni Ryougyaku Sareta Seijo Gakuen,6.47,58.0,OVA,2.0,29.0
Koikishi Purely☆Kiss The Animation,7.34,58.0,OVA,2.0,29.0
Chuunibyou demo Koi ga Shitai! Ren,7.6,288.0,TV,12.0,24.0
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,7.02,288.0,TV,12.0,24.0
Kill la Kill,8.18,576.0,TV,24.0,24.0
Shibai Taroka,5.91,104.0,OVA,2.0,52.0
Diamond no Ace,8.19,1800.0,TV,75.0,24.0
Joshikousei no Koshitsuki,7.32,102.0,OVA,6.0,17.0
Tenioha!: Onnanoko datte Honto wa Ecchi da yo?,7.18,30.0,OVA,2.0,15.0
Toriko no Chigiri,6.3,30.0,OVA,2.0,15.0
Donyatsu,6.14,24.0,Movie,12.0,2.0
BlazBlue: Alter Memory,6.23,288.0,TV,12.0,24.0
Gifuu Doudou!!: Kanetsugu to Keiji,6.52,600.0,TV,25.0,24.0
Kuwagata Tsumami,5.86,252.0,ONA,84.0,3.0
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,6.61,18.0,Special,6.0,3.0
Alice Tantei Kyoku,5.09,672.0,TV,56.0,12.0
Ninja Hattori-kun (2012),6.49,1248.0,TV,52.0,24.0
Aoki Hagane no Arpeggio: Ars Nova,7.49,288.0,TV,12.0,24.0
Nisekoi,7.79,480.0,TV,20.0,24.0
The Midnight★Animal,4.83,180.0,ONA,12.0,15.0
Hakken Taiken Daisuki! Shimajirou,6.36,2525.0,TV,101.0,25.0
Shimajirou Hesoka,6.37,2525.0,TV,101.0,25.0
Shimajirou no Wow!,6.05,25.0,TV,,25.0
Yuuto-kun ga Iku,3.89,26.0,TV,26.0,1.0
"Wake Up, Girls!",7.04,288.0,TV,12.0,24.0
Yuyushiki: Nyanyashiki,6.31,12.0,Special,6.0,2.0
Imouto Paradise! 2,7.22,30.0,OVA,2.0,15.0
Judo-bu Monogatari,5.77,60.0,OVA,2.0,30.0
Future Card Buddyfight,7.07,1536.0,TV,64.0,24.0
Kaiketsu Tamagon,5.94,975.0,TV,195.0,5.0
Shin Hitou Meguri,6.41,60.0,OVA,2.0,30.0
Fate/kaleid liner Prisma☆Illya Specials,6.87,25.0,Special,5.0,5.0
Love Live! School Idol Project 2nd Season,7.96,299.0,TV,13.0,23.0
Toaru Hikuushi e no Koiuta,7.24,312.0,TV,13.0,24.0
Doctor Chichibuyama,5.88,60.0,TV,2.0,30.0
Turning Girls,6.08,35.0,ONA,7.0,5.0
Walkure Romanze,6.51,276.0,TV,12.0,23.0
Youkai Watch,7.08,4922.0,TV,214.0,23.0
Date A Live II,7.43,240.0,TV,10.0,24.0
Fate/Zero Cafe,5.93,20.0,Movie,2.0,10.0
Go! Go! Kadendanshi,5.0,78.0,ONA,78.0,1.0
Sanjougattai Transformers Go!,5.31,130.0,OVA,10.0,13.0
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,5.4,40.0,TV,10.0,4.0
Suisei no Gargantia Specials,7.23,48.0,Special,2.0,24.0
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7.42,240.0,TV,10.0,24.0
Hyakka Ryouran: Samurai Bride Specials,6.68,18.0,Special,6.0,3.0
Meganebu!,6.36,276.0,TV,12.0,23.0
Pokemon XY,7.41,2139.0,TV,93.0,23.0
Nyuru Nyuru!! Kakusen-kun,5.8,50.0,TV,25.0,2.0
Turuturutu Narongi,6.42,780.0,TV,52.0,15.0
Pupa,3.67,48.0,TV,12.0,4.0
Gundam Build Fighters,7.9,625.0,TV,25.0,25.0
Kwaegeol Longman Narongi,6.25,780.0,TV,52.0,15.0
Momoya x Peeping Life: Go en Desu yo!,5.49,20.0,ONA,4.0,5.0
Nijiiro☆Prism Girl,6.31,48.0,OVA,4.0,12.0
Gin no Saji 2nd Season,8.33,264.0,TV,11.0,24.0
Samurai Flamenco,6.95,506.0,TV,22.0,23.0
Galilei Donna,6.47,264.0,TV,11.0,24.0
Outbreak Company,7.46,288.0,TV,12.0,24.0
Yami Shibai,7.16,52.0,TV,13.0,4.0
Shingeki no Kyojin Picture Drama,6.71,90.0,Special,9.0,10.0
Zettai Bouei Leviathan: Mini Takibi Gekijou,5.96,52.0,Special,13.0,4.0
Akuma no Riddle,6.76,276.0,TV,12.0,23.0
Tetsujin 28-gou Gao!,7.14,755.0,TV,151.0,5.0
Green Saver,5.65,780.0,TV,26.0,30.0
Revbahaf Wang-gug Jaegeon-soelgi,6.13,520.0,TV,26.0,20.0
Hakusai Anime,5.25,12.0,ONA,3.0,4.0
Giga Tribe,5.28,780.0,TV,39.0,20.0
Toki-iro Kaima,5.7,80.0,OVA,4.0,20.0
Kentoushi,5.31,90.0,OVA,3.0,30.0
Junjou Shoujo Et Cetera,6.76,42.0,OVA,2.0,21.0
Kobayashi ga Kawai sugite Tsurai!!,6.33,32.0,OVA,2.0,16.0
Kobo-chan,6.55,1575.0,TV,63.0,25.0
Zecchou Rocket,6.23,46.0,OVA,2.0,23.0
Tayu Tayu,7.09,84.0,OVA,4.0,21.0
Hontou ni Atta,5.87,32.0,OVA,2.0,16.0
Hajime no Ippo: Rising,8.65,550.0,TV,25.0,22.0
Free!: FrFr - Short Movie,7.74,14.0,Special,7.0,2.0
Kanojo ga Flag wo Oraretara,6.57,312.0,TV,13.0,24.0
Clover 4/3,5.55,72.0,ONA,24.0,3.0
Toaru Kagaku no Railgun S: Motto Marutto Railgun,7.11,16.0,Special,2.0,8.0
Kyousou Giga (TV),7.87,250.0,TV,10.0,25.0
Dakaretai Onna,5.01,90.0,OVA,2.0,45.0
Oshiri Kajiri Mushi (TV) 2nd Season,5.42,160.0,TV,32.0,5.0
Mahou Sensou,6.16,288.0,TV,12.0,24.0
Sidonia no Kishi,7.78,288.0,TV,12.0,24.0
Robot Girls Z,6.5,81.0,Special,3.0,27.0
Waanabi.jk,4.92,2.0,Special,2.0,1.0
No Game No Life,8.38,276.0,TV,12.0,23.0
Namakemono ga Miteta,6.0,58.0,OVA,2.0,29.0
Saikyou Ginga Ultimate Zero: Battle Spirits,6.7,1127.0,TV,49.0,23.0
Ore wa Chokkaku,6.87,828.0,TV,36.0,23.0
Super Seisyun Brothers,6.9,56.0,TV,14.0,4.0
Tamagotchi! Miracle Friends,6.36,667.0,TV,29.0,23.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,6.83,91.0,Special,13.0,7.0
Nobunagun,6.77,312.0,TV,13.0,24.0
Gaist Crusher,5.92,1020.0,TV,51.0,20.0
Marude Dameo,6.64,1175.0,TV,47.0,25.0
Battle Spirits: Sword Eyes Gekitouden,7.04,525.0,TV,21.0,25.0
Genshiken Nidaime Specials,6.91,12.0,Special,4.0,3.0
Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater,6.67,297.0,OVA,11.0,27.0
Tesagure! Bukatsumono,6.79,132.0,TV,12.0,11.0
KY-kei JC Kuuki-chan,5.55,18.0,ONA,6.0,3.0
Ikkyuu-san (1978),7.3,624.0,TV,26.0,24.0
Zetsumetsu Kigu Shoujo: Amazing Twins,6.43,58.0,OVA,2.0,29.0
Barbapapa (1977),6.01,240.0,TV,48.0,5.0
Heisei Tensai Bakabon,6.29,1150.0,TV,46.0,25.0
Ikinari Dagon,6.43,300.0,TV,12.0,25.0
Doubutsu Mura Monogatari,5.96,500.0,TV,100.0,5.0
Otanoshimi Anime Gekijou,7.36,1404.0,TV,26.0,54.0
Itazura Tenshi Chippo-chan,6.33,1200.0,TV,240.0,5.0
Nihon Meisaku Douwa Series: Akai Tori no Kokoro,6.69,650.0,TV,26.0,25.0
D-Frag!,7.69,288.0,TV,12.0,24.0
Miss Monochrome: The Animation,6.47,52.0,TV,13.0,4.0
Sakura Trick,7.13,288.0,TV,12.0,24.0
Wizard Barristers: Benmashi Cecil,6.23,288.0,TV,12.0,24.0
Space☆Dandy,7.88,312.0,TV,13.0,24.0
Obocchama-kun,6.19,4100.0,TV,164.0,25.0
Dotanba no Manners,6.08,1415.0,TV,283.0,5.0
Ijiwaru Baasan,6.74,975.0,TV,39.0,25.0
Ijiwaru Baasan (1996),6.08,1150.0,TV,46.0,25.0
Doteraman,6.19,500.0,TV,20.0,25.0
Only You: Viva! Cabaret Club,6.2,150.0,TV,15.0,10.0
Treasure Gaust,4.37,25.0,TV,5.0,5.0
Furiten-kun (1990),6.0,60.0,OVA,2.0,30.0
Gekisou! Rubenkaiser,6.31,425.0,TV,17.0,25.0
Kotowaza House,5.99,3865.0,TV,773.0,5.0
Kappamaki,5.63,390.0,TV,130.0,3.0
Tobidase! Machine Hiryuu,5.41,525.0,TV,21.0,25.0
Kariage-kun,6.04,1475.0,TV,59.0,25.0
Robokko Beeton,5.56,1250.0,TV,50.0,25.0
Mori no Senshi Bonolon,4.85,130.0,TV,26.0,5.0
Manga Ijin Monogatari,6.24,1150.0,TV,46.0,25.0
Ganbare Gonbe,6.46,1155.0,TV,77.0,15.0
Easy Cooking Animation: Seishun no Shokutaku,4.89,75.0,TV,25.0,3.0
Shounen Tokugawa Ieyasu,6.67,500.0,TV,20.0,25.0
Manga Kodomo Bunko,6.44,1275.0,TV,51.0,25.0
Tonari no Tamageta-kun,6.22,300.0,TV,60.0,5.0
Anime Document: München e no Michi,5.55,400.0,TV,16.0,25.0
Hana no Kakarichou,5.77,625.0,TV,25.0,25.0
Gatapishi,6.16,1990.0,TV,199.0,10.0
W-Tails Cat: A Strange Presence,6.09,42.0,ONA,7.0,6.0
Wooser no Sono Higurashi: Kakusei-hen,6.7,48.0,TV,12.0,4.0
Koroshiya-san: The Hired Gun,5.61,30.0,TV,10.0,3.0
Gakkou no Yuurei,5.9,192.0,OVA,6.0,32.0
Zeonic Toyota Special Movie,6.17,2.0,ONA,2.0,1.0
Eguchi Hisashi no Kotobuki Gorou Show,5.55,28.0,OVA,4.0,7.0
Hoozuki no Reitetsu,7.85,312.0,TV,13.0,24.0
"Inari, Konkon, Koi Iroha.",7.27,240.0,TV,10.0,24.0
Teekyuu 3,6.88,24.0,TV,12.0,2.0
Maji,6.04,150.0,OVA,3.0,50.0
Noragami,8.14,288.0,TV,12.0,24.0
