Entity,Year,CO2_per_capita,Population,Poverty_rate
Brazil,1998,1.8760923,169159594,14.337863
Brazil,1999,1.9066253,171641487,14.968738
Brazil,2001,1.9634924,176301154,13.042174
Brazil,2002,1.9482261,178503419,11.73864
Brazil,2003,1.908094,180622646,12.605869
Brazil,2004,1.978562,182675086,11.055812
Brazil,2005,1.9728998,184688047,9.962901
Brazil,2006,1.9762388,186653053,8.2642355
Brazil,2007,2.071431,188552256,7.870375
Brazil,2008,2.1675894,190367242,6.507662
Brazil,2009,2.0292337,192079912,6.120392
Brazil,2011,2.368747,195284687,5.32249
Brazil,2012,2.5310798,196876061,4.493511
Brazil,2013,2.6825008,198478236,3.7285519
Brazil,2014,2.7883189,200085074,3.3259485
Brazil,2015,2.6247764,201675482,3.8774729
Brazil,2016,2.4247255,203218058,4.7337537
Brazil,2017,2.4340897,204703394,5.302752
Brazil,2018,2.3210206,206107217,5.3060746
Brazil,2019,2.281887,207455405,5.4092226
Brazil,2020,2.1336453,208660785,1.9510684
Brazil,2021,2.3765988,209550238,5.834562
Brazil,2022,2.3006465,210306358,3.5053015
Bulgaria,2006,6.7958155,7640243,5.8306923
Bulgaria,2007,7.3483434,7586847,1.7921898
Bulgaria,2008,7.180506,7535541,1.251184
Bulgaria,2009,6.1214066,7487966,1.3057501
Bulgaria,2010,6.4403195,7437542,2.0077357
Bulgaria,2011,7.2093797,7379973,2.4587572
Bulgaria,2012,6.609469,7316974,2.3094437
Bulgaria,2013,5.8814645,7264556,1.7837765
Bulgaria,2014,6.264565,7223406,1.6603086
Bulgaria,2015,6.7159996,7177463,3.4196482
Bulgaria,2016,6.372504,7127389,1.966491
Bulgaria,2017,6.7161274,7075586,1.3717663
Bulgaria,2018,6.203401,7024687,0.87046057
Bulgaria,2019,6.0594864,6975420,0.9236337
Bulgaria,2020,5.285019,6933606,0.24786347
Bulgaria,2021,6.168972,6877173,0.69914126
Burkina Faso,1994,0.0651458,10123754,82.079414
Burkina Faso,1998,0.07576217,11240624,79.91789
Burkina Faso,2003,0.09081831,13082483,54.703735
Burkina Faso,2009,0.116887465,15710025,52.64917
Burkina Faso,2014,0.15710077,18229421,39.60286
Burkina Faso,2018,0.25570914,20438245,31.203825
Burkina Faso,2021,0.28593773,21995205,25.277073
Burundi,1992,0.03690045,5858357,75.059006
Burundi,1998,0.04026977,6187073,79.441154
Burundi,2006,0.023757419,7865501,71.844315
Burundi,2013,0.042117808,10439290,65.13289
Burundi,2020,0.058575917,12616994,62.06576
Cameroon,1996,0.44538093,13414719,50.365902
Cameroon,2001,0.363333,15309439,25.694448
Cameroon,2007,0.4104949,18049854,31.42313
Cameroon,2014,0.39762333,22059848,25.657516
Cameroon,2021,0.35686532,26915707,22.99222
Canada,1971,16.08938,21895650,2.249591
Canada,1973,16.936304,22512184,1.7485467
Canada,1975,17.140617,23148920,1.4924183
Canada,1977,17.184385,23730289,1.2496604
Canada,1979,18.223146,24237129,1.2497067
Canada,1981,17.292454,24844926,0.7493493
Canada,1982,16.485806,25140108,0.7431093
Canada,1984,16.565168,25670330,0.74983454
Canada,1985,16.265356,25927419,0.49976912
Canada,1986,15.440394,26210985,0.9981897
Canada,1987,16.238434,26540862,0.49968165
Canada,1988,16.921827,26927889,0.74937075
Canada,1989,16.91461,27365995,1.24935
Canada,1990,16.48165,27789386,1.2484578
Canada,1991,15.973096,28157104,1.2476625
Canada,1992,16.263037,28500013,0.7468885
Canada,1993,16.099571,28830582,1.2476294
Canada,1994,16.42108,29147326,0.98957986
Canada,1995,16.681225,29459088,0.74680895
Canada,1996,17.056673,29767159,0.24951783
Canada,1997,17.36656,30059030,0.24771148
Canada,1998,17.462479,30329929,0.49965563
Canada,1999,17.773731,30599404,0.49096304
Canada,2000,18.330502,30891756,0.24782088
Canada,2001,17.888409,31213533,0.24938154
Canada,2002,17.87598,31535531,0.24230576
Canada,2003,18.243011,31836434,0.23710853
Canada,2004,18.024137,32132620,0.2435585
Canada,2005,17.658834,32440126,0.24498986
Canada,2006,17.343971,32759122,0.24914758
Canada,2007,17.88609,33092121,0.24825242
Canada,2008,17.213346,33449040,0.24546228
Canada,2009,16.046993,33826322,0.24430971
Canada,2010,16.221796,34196847,0.248831
Canada,2011,16.301949,34555403,0.2261454
Canada,2012,16.156395,34922466,0.24652141
Canada,2013,16.117868,35293366,0.49648547
Canada,2014,15.896765,35634224,0.24215806
Canada,2015,15.728859,35962183,0.24590448
Canada,2016,15.3733425,36353292,0.24871367
Canada,2017,15.474789,36808448,0.24701066
Canada,2018,15.527008,37294942,0.2499711
Canada,2019,15.404461,37782884,0.24863754
Cape Verde,2001,0.7562715,460258,19.574156
Cape Verde,2007,1.0191132,496149,10.567116
Cape Verde,2015,0.95827305,512355,4.5642314
Central African Republic,1992,0.06348648,3058793,82.185
Central African Republic,2008,0.036166295,4558941,61.884224
Central African Republic,2021,0.04730473,5112047,65.66651
Chad,2003,0.0930054,9487772,57.790245
Chad,2011,0.09980041,12754948,36.616726
Chad,2018,0.14752656,16156480,30.882942
Chad,2022,0.16281013,18455270,30.845234
Chile,1987,1.7521499,12790094,15.380129
Chile,1990,2.449042,13437138,10.668008
Chile,1992,2.3047705,13884526,6.699598
Chile,1994,2.6525784,14316210,6.7974644
Chile,1996,3.2731285,14734005,4.664468
Chile,1998,3.7849958,15127752,4.5866966
Chile,2000,3.7734895,15503580,5.826292
Chile,2003,3.4384542,16024700,5.287876
Chile,2006,3.8797834,16509144,2.0453675
Chile,2009,3.8777807,17009684,1.6663069
Chile,2011,4.499339,17351762,0.9038751
Chile,2013,4.6213045,17686958,0.5171192
Chile,2015,4.5314765,18047575,0.4292806
Chile,2017,4.5336003,18558817,0.35970792
Chile,2020,4.1391754,19370563,1.3415734
Chile,2022,4.221193,19552984,0.39505082
China,1981,1.4798604,997721024,91.77853
China,1984,1.7673312,1043849592,81.190254
China,1987,2.059572,1096217389,67.38567
China,1990,2.1540327,1153582668,71.962074
China,1993,2.4401822,1197308522,65.56736
China,1996,2.8505082,1230944759,48.185055
China,1999,2.822838,1260176600,46.134586
China,2002,3.1884003,1286866794,36.889233
China,2005,4.4900646,1310027084,22.254406
China,2008,5.6240664,1333820960,17.267706
China,2010,6.3782344,1351561462,13.3794565
China,2011,7.0077763,1360250601,9.952238
China,2012,7.140667,1369520822,8.316196
China,2013,7.2199216,1379007984,2.6820178
China,2014,7.1978407,1387951920,1.7436469
China,2015,7.0648346,1396134112,0.56426
China,2016,6.9532394,1404052581,0.08090368
Colombia,1992,1.8214965,33760526,9.557514
Colombia,1996,1.6431228,36462687,17.57369
