name,score,episodes,episode_group,type
Softenni,6.58,12.0,7-13,TV
Mayo Chiki!,7.46,13.0,7-13,TV
Yokohama Meibutsu: Otoko Katayama-gumi!,5.89,2.0,2-6,OVA
Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,6.59,5.0,2-6,ONA
Seitokai Yakuindomo OVA,7.86,8.0,7-13,OVA
Manga Doushite Monogatari,6.31,100.0,53-100,TV
Dog Days,7.12,13.0,7-13,TV
Sacred Seven,6.7,12.0,7-13,TV
No.6,7.7,11.0,7-13,TV
Usagi Drop,8.51,11.0,7-13,TV
C: The Money of Soul and Possibility Control,7.36,11.0,7-13,TV
Nichijou,8.51,26.0,14-26,TV
Freezing Specials,6.7,6.0,2-6,Special
DD Hokuto no Ken,6.24,12.0,7-13,TV
Otona Joshi no Anime Time,7.47,4.0,2-6,Special
Otome Youkai Zakuro Picture Drama,6.39,2.0,2-6,Special
HenSemi (TV),6.61,13.0,7-13,TV
Katte ni Kaizou,6.97,6.0,2-6,OVA
Nyanpire The Animation,6.76,12.0,7-13,TV
Kore wa Zombie Desu ka? OVA,7.51,2.0,2-6,OVA
Bug tte Honey,6.03,51.0,27-52,TV
Maji de Watashi ni Koi Shinasai!,6.94,12.0,7-13,TV
"Yondemasu yo, Azazel-san. (TV)",7.6,13.0,7-13,TV
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,6.05,12.0,7-13,TV
Uchuu Majin Daikengou,6.36,26.0,14-26,TV
Tamayura: Hitotose,7.32,12.0,7-13,TV
Kagee Grimm Douwa,6.39,52.0,27-52,TV
Ki-Fighter Taerang,5.71,26.0,14-26,TV
Mayutoro The Toons,5.19,33.0,27-52,TV
Ton-Ton Atta to Niigata no Mukashibanashi,6.29,13.0,7-13,TV
Burning Village,5.62,10.0,7-13,OVA
Toaru Majutsu no Index-tan II,7.07,2.0,2-6,Special
Pretty Rhythm: Aurora Dream,7.54,51.0,27-52,TV
Eiyuu Densetsu: Sora no Kiseki The Animation,6.69,2.0,2-6,OVA
Sonic X Pilot,6.16,2.0,2-6,Special
Gyakkyou Burai Kaiji: Hakairoku-hen,8.27,26.0,14-26,TV
The iDOLM@STER,7.7,25.0,14-26,TV
Manga Nippon Mukashibanashi,6.04,12.0,7-13,TV
Shin Karate Jigoku-hen,5.73,2.0,2-6,OVA
Umi Monogatari: Kanon to Iku Amamikoshima,6.2,13.0,7-13,Special
Sengoku Otome: Momoiro Paradox,6.66,13.0,7-13,TV
Chou Dendou Robo Tetsujin 28-gou FX,6.38,47.0,27-52,TV
Uta no☆Prince-sama♪ Maji Love 1000%,7.28,13.0,7-13,TV
Tono to Issho: Gantai no Yabou,6.59,12.0,7-13,TV
Kyuuketsuki,5.95,2.0,2-6,OVA
Cosplay Roshutsu Kenkyuukai,6.2,2.0,2-6,OVA
Bakugan Battle Brawlers: Mechtanium Surge,6.26,46.0,27-52,TV
Last Exile: Ginyoku no Fam,7.13,21.0,14-26,TV
Honto ni Atta! Reibai Sensei,6.61,22.0,14-26,TV
Ring ni Kakero 1: Sekai Taikai-hen,6.79,6.0,2-6,TV
Happy Kappy,5.45,25.0,14-26,TV
Fireball Charming,6.86,13.0,7-13,TV
Suzy's Zoo: Daisuki! Witzy,6.27,25.0,14-26,TV
Hakuouki Sekkaroku,7.78,6.0,2-6,OVA
Okama Hakusho,5.44,3.0,2-6,OVA
Jinrui wa Suitai Shimashita,7.85,12.0,7-13,TV
Jewelpet Sunshine,6.7,52.0,27-52,TV
Kinniku Banzuke: Kongou-kun no Daibouken!,5.27,3.0,2-6,TV
Teleclub no Himitsu,5.15,2.0,2-6,OVA
Metal Fight Beyblade 4D,6.86,52.0,27-52,TV
Kamisama Dolls,7.09,13.0,7-13,TV
Soul Link Picture Drama,5.69,3.0,2-6,Special
Shinryaku!? Ika Musume,7.58,12.0,7-13,TV
Natsume Yuujinchou San,8.64,13.0,7-13,TV
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,6.64,10.0,7-13,ONA
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,6.57,3.0,2-6,Special
Kuragehime: Soreike! Amars Tankentai,5.67,6.0,2-6,Special
Ben-To,7.4,12.0,7-13,TV
Mashiro-iro Symphony: The Color of Lovers,7.23,12.0,7-13,TV
Menkui!,7.22,2.0,2-6,OVA
Gakuen 3,6.61,2.0,2-6,OVA
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.33,24.0,14-26,TV
Aquarion Evol,7.24,26.0,14-26,TV
Kyoukaisenjou no Horizon,7.21,13.0,7-13,TV
JK to Inkou Kyoushi 4,6.79,2.0,2-6,OVA
Ran->Sem: Hakudaku Delmo Tsuma no Miira Tori,6.99,2.0,2-6,OVA
Puu-Neko,5.59,11.0,7-13,TV
Kimi to Boku.,7.79,13.0,7-13,TV
Seitokai no Ichizon Lv.2,7.44,10.0,7-13,ONA
Manyuu Hikenchou,6.29,12.0,7-13,TV
Beelzebub Specials,7.48,16.0,14-26,Special
Shocking Pink!,6.98,2.0,2-6,OVA
Blood-C,6.69,12.0,7-13,TV
Higurashi no Naku Koro ni Kira,6.58,4.0,2-6,OVA
Yuru Yuri,7.67,12.0,7-13,TV
Hetalia World Series Specials,7.75,4.0,2-6,Special
Inazuma Eleven Go,7.18,47.0,27-52,TV
Toyama Kankou Anime Project,5.49,6.0,2-6,Special
Usavich IV,6.8,13.0,7-13,TV
Working'!!,7.95,13.0,7-13,TV
Duel Masters Victory,6.07,52.0,27-52,TV
Shinseiki Duel Masters Flash,5.91,24.0,14-26,TV
Duel Masters Zero,6.2,25.0,14-26,TV
Duel Masters Cross,6.56,100.0,53-100,TV
Duel Masters Cross Shock,6.36,50.0,27-52,TV
Working'!! Announcement Specials,6.81,2.0,2-6,ONA
Fujilog,5.88,13.0,7-13,TV
Kimi ni Todoke 2nd Season Specials,7.39,3.0,2-6,Special
Hato no Oyome-san,3.83,4.0,2-6,TV
Genki!! Ekoda-chan,5.19,22.0,14-26,TV
Shuukan Shimakou,5.31,11.0,7-13,TV
Rinkan Club,6.71,4.0,2-6,OVA
Yakyuukyou no Uta,6.62,25.0,14-26,TV
Machine Hayabusa,6.23,21.0,14-26,TV
Korogashi Ryouta,5.73,3.0,2-6,OVA
Kamisama no Memochou,7.62,12.0,7-13,TV
Inshitsu Otaku ni Ikareru Kanojo,6.24,3.0,2-6,OVA
Ro-Kyu-Bu!,6.95,12.0,7-13,TV
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,7.65,4.0,2-6,OVA
C³,6.77,12.0,7-13,TV
Persona 4 the Animation,7.6,25.0,14-26,TV
Reunion,6.73,2.0,2-6,OVA
VitaminX Addiction,6.32,3.0,2-6,OVA
Rerere no Tensai Bakabon,6.43,24.0,14-26,TV
R-15,6.61,12.0,7-13,TV
Mirai Nikki,7.84,26.0,14-26,TV
Hayan Ma-eum Baeggu,6.55,13.0,7-13,TV
Shiodome Cable TV,4.96,22.0,14-26,TV
Ao no Exorcist: Ura Ex,7.2,10.0,7-13,Special
Mars,6.02,2.0,2-6,OVA
Imouto Paradise!,6.8,2.0,2-6,OVA
Morita-san wa Mukuchi.,6.58,13.0,7-13,TV
Tentacle and Witches,7.24,4.0,2-6,OVA
Bloods: Inraku no Ketsuzoku 2,7.02,2.0,2-6,OVA
Yume Kui: Tsurumiku Shiki Game Seisaku,6.87,2.0,2-6,OVA
Asa kara Zusshiri Milk Pot,6.13,2.0,2-6,OVA
Yasai no Yousei: N.Y.Salad,5.93,26.0,14-26,TV
Yasai no Yousei: N.Y.Salad 2nd Series,6.0,26.0,14-26,TV
Manga Nihon Keizai Nyuumon,6.13,25.0,14-26,TV
Plastic Neesan,7.34,12.0,7-13,ONA
Boku wa Tomodachi ga Sukunai,7.43,12.0,7-13,TV
Mawaru Penguindrum,8.02,24.0,14-26,TV
Maid Ane,6.21,2.0,2-6,OVA
A-Channel: +A-Channel,7.02,11.0,7-13,Special
Jingi,6.14,2.0,2-6,OVA
Kikou Kai Galient OVA,5.9,3.0,2-6,OVA
Detective Conan vs. Wooo,6.12,2.0,2-6,ONA
Mahou Shoujo Elena,6.6,3.0,2-6,OVA
Soccer Fever,6.35,51.0,27-52,TV
Kore wa Zombie Desu ka? of the Dead,7.69,10.0,7-13,TV
Haramasete Seiryuu-kun!,6.53,2.0,2-6,OVA
Guilty Crown,7.71,22.0,14-26,TV
Softenni Specials,6.16,6.0,2-6,Special
UN-GO,7.47,11.0,7-13,TV
Chihayafuru,8.28,25.0,14-26,TV
Copihan,5.49,7.0,7-13,ONA
Nichijou: Original Jikai Yokoku,7.04,25.0,14-26,Special
Mobile Suit Gundam AGE,6.56,49.0,27-52,TV
Pucca 2,6.54,13.0,7-13,TV
UFO Senshi Dai Apolon 2,6.27,21.0,14-26,TV
Ikoku Meiro no Croisée: Yune & Alice,6.35,7.0,7-13,Special
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,7.34,6.0,2-6,Special
Double-J,5.55,11.0,7-13,TV
Manyuu Hikenchou Specials,6.22,4.0,2-6,Special
Inumarudashi,5.36,4.0,2-6,TV
Seibu Tetsudou Ekiin Tako-chan,4.92,12.0,7-13,ONA
Euphoria,6.57,6.0,2-6,OVA
Penguin no Mondai Max,6.4,50.0,27-52,TV
Penguin no Mondai DX?,5.9,52.0,27-52,TV
Tennis no Ouji-sama: Pair Prince,7.35,8.0,7-13,Special
Scan2Go,6.29,52.0,27-52,TV
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),7.4,12.0,7-13,TV
Ghost Messenger,6.66,6.0,2-6,OVA
Saki Achiga-hen: Episode of Side-A,7.37,12.0,7-13,TV
Dame Oyaji,6.04,26.0,14-26,TV
Jungle Kurobee,6.26,31.0,27-52,TV
Ikoku Meiro no Croisée Picture Drama,6.42,6.0,2-6,Special
Hakoiri Shoujo: Virgin Territory,6.05,2.0,2-6,OVA
Kakko Kawaii Sengen! 2,5.91,10.0,7-13,TV
Seikon no Qwaser II Picture Drama,6.11,4.0,2-6,Special
Queen's Blade OVA,6.46,2.0,2-6,OVA
Nogizaka Haruka no Himitsu: Finale,7.4,4.0,2-6,OVA
Hourou Musuko Specials,7.69,2.0,2-6,Special
Mobile Suit Gundam: The Origin,8.43,6.0,2-6,OVA
Pants Pankurou,6.06,85.0,53-100,TV
High Score,5.7,8.0,7-13,TV
Kagaku Bouken-tai Tansar 5,6.22,34.0,27-52,TV
Zettai Zetsumei Dangerous Jiisan (2004),6.03,51.0,27-52,TV
Stray Sheep: Poe no Chicchana Daibouken,5.81,12.0,7-13,TV
Ganbare!! Nattou-san,5.69,4.0,2-6,TV
Fujilog 2nd Season,5.56,13.0,7-13,TV
Holy Knight,6.18,2.0,2-6,OVA
Inu x Boku SS,7.61,12.0,7-13,TV
Battle Spirits: Heroes,6.48,50.0,27-52,TV
Muv-Luv Alternative: Total Eclipse,7.16,24.0,14-26,TV
Vampire,6.63,2.0,2-6,OVA
Shoukoujo The Animation,6.88,2.0,2-6,OVA
Oppai Heart: Kanojo wa Kedamono Hatsujouki!?,6.89,2.0,2-6,OVA
Hellsing: The Dawn,7.3,3.0,2-6,Special
Kill Me Baby,6.93,13.0,7-13,TV
Nurarihyon no Mago: Sennen Makyou Recaps,6.72,2.0,2-6,Special
Awake,5.44,2.0,2-6,Special
Honoo no Alpenrose,6.34,2.0,2-6,OVA
Busou Shinki Moon Angel,6.63,10.0,7-13,ONA
Another,7.73,12.0,7-13,TV
Usagi Drop Specials,8.04,4.0,2-6,Special
Sekaiichi Hatsukoi 2,8.2,12.0,7-13,TV
Hybrid Child,7.98,4.0,2-6,OVA
Cross Fight B-Daman,6.59,52.0,27-52,TV
Papa no Iukoto wo Kikinasai!,7.43,12.0,7-13,TV
Kowaku no Toki,6.17,4.0,2-6,OVA
Kuma no Puutarou,6.26,30.0,27-52,TV
Maken-Ki! OVA,6.76,2.0,2-6,OVA
Rinne no Lagrange,6.98,12.0,7-13,TV
Amagami SS+ Plus,7.55,13.0,7-13,TV
Hidamari Sketch x SP,7.84,2.0,2-6,Special
Hidamari Sketch x Honeycomb,7.95,12.0,7-13,TV
Brave 10,6.9,12.0,7-13,TV
Manga Nihonshi,6.29,52.0,27-52,TV
Akadou Suzunosuke,5.87,52.0,27-52,TV
Black★Rock Shooter (TV),6.97,8.0,7-13,TV
Ginga Patrol PJ,6.73,26.0,14-26,TV
Kimi no Iru Machi: Tasogare Kousaten,7.29,2.0,2-6,OVA
Zero no Tsukaima F,7.69,12.0,7-13,TV
Nee Summer!,7.19,2.0,2-6,OVA
Tantei Opera Milky Holmes Dai 2 Maku,7.27,12.0,7-13,TV
Soredemo Tsuma wo Aishiteru,6.56,3.0,2-6,OVA
Shin Tennis no Ouji-sama,7.64,13.0,7-13,TV
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.59,25.0,14-26,TV
Iruka to Shounen,4.92,13.0,7-13,TV
Ano Natsu de Matteru,7.62,12.0,7-13,TV
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,7.16,2.0,2-6,OVA
Chibi☆Devi!,6.85,75.0,53-100,TV
Tsuma no Haha Sayuri,6.57,2.0,2-6,OVA
TSF Monogatari,6.78,2.0,2-6,OVA
BaBuKa: Gokudou no Tsuma,5.76,2.0,2-6,OVA
Recorder to Randoseru Do♪,6.76,13.0,7-13,TV
Sore Ike! Zukkoke Sannin-gumi,6.55,26.0,14-26,TV
Sankarea,7.47,12.0,7-13,TV
Hello Kitty: Ringo no Mori no Fantasy,5.98,13.0,7-13,TV
Mamimume★Mogacho,5.68,13.0,7-13,TV
Momotarou Densetsu,6.4,51.0,27-52,TV
Ad Lib Anime Kenkyuujo,5.93,38.0,27-52,TV
Happyakuyachou Hyouri Kewaishi,5.9,16.0,14-26,TV
Sengoku☆Paradise Kiwami,6.17,26.0,14-26,TV
Puu-Neko Shougekijou,5.49,11.0,7-13,TV
Nisemonogatari,8.2,11.0,7-13,TV
"Sono Toki, Shimakou ga Ugoita!",5.32,11.0,7-13,TV
Morita-san wa Mukuchi. 2,6.73,13.0,7-13,TV
High School DxD,7.58,12.0,7-13,TV
Blood Lad,7.49,10.0,7-13,TV
Robo to Shoujo (Kari),5.64,9.0,7-13,ONA
Natsume Yuujinchou Shi,8.71,13.0,7-13,TV
Area no Kishi,7.32,37.0,27-52,TV
Code:Breaker,6.95,13.0,7-13,TV
Kamisama Dolls Specials,5.96,6.0,2-6,Special
Chi-Sui Maru 2nd Season,4.7,34.0,27-52,TV
Kimi to Boku. 2,8.06,13.0,7-13,TV
Fate/Zero 2nd Season,8.64,12.0,7-13,TV
Aku no Onna Kanbu,6.79,2.0,2-6,OVA
Kiriya Hakushaku Ke no Roku Shimai,6.82,2.0,2-6,OVA
Oshioki: Gakuen Reijou Kousei Keikaku,6.45,3.0,2-6,OVA
Senki Zesshou Symphogear,7.07,13.0,7-13,TV
Sword Art Online,7.58,25.0,14-26,TV
Accel World,7.5,24.0,14-26,TV
Medaka Box,7.16,12.0,7-13,TV
Sekai de Ichiban Tsuyoku Naritai!,5.92,12.0,7-13,TV
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.26,12.0,7-13,TV
Kuroko no Basket,8.34,25.0,14-26,TV
To Heart 2: Dungeon Travelers,6.37,2.0,2-6,OVA
Dog Days',7.23,13.0,7-13,TV
Haiyore! Nyaruko-san,7.18,12.0,7-13,TV
Wish Me Mell,5.69,2.0,2-6,ONA
School,6.86,2.0,2-6,OVA
gdgd Fairies,6.95,12.0,7-13,TV
Shijou Saikyou no Deshi Kenichi OVA,8.01,11.0,7-13,OVA
Ijou Chitai: Jikken Dorei,5.96,2.0,2-6,OVA
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,7.59,6.0,2-6,OVA
Manga Mitokoumon,6.77,46.0,27-52,TV
Qin Shi Ming Yue: Zhu Zi Bai Jia,7.33,34.0,27-52,TV
Zetman,6.97,13.0,7-13,TV
Qin Shi Ming Yue: Ye Jin Tianming,7.12,18.0,14-26,TV
Danshi Koukousei no Nichijou,8.33,12.0,7-13,TV
Judo Sanka,6.52,27.0,27-52,TV
Queen's Blade: Rebellion,6.44,12.0,7-13,TV
Oraa Guzura Dado (1987),6.31,44.0,27-52,TV
Oni Chichi: Re-born,7.69,2.0,2-6,OVA
Kokoro Connect,7.93,13.0,7-13,TV
Pretty Rhythm: Aurora Dream - Prism Shougekijou,6.92,51.0,27-52,Special
Within the Bloody Woods,3.36,2.0,2-6,ONA
Major: World Series,8.44,2.0,2-6,OVA
Oda Nobuna no Yabou,7.6,12.0,7-13,TV
Tsundere Inran Shoujo Sukumi,6.63,2.0,2-6,OVA
Poyopoyo Kansatsu Nikki,7.75,52.0,27-52,TV
Uchuu Senkan Yamato 2199,8.44,26.0,14-26,OVA
Kingdom,8.17,38.0,27-52,TV
What's Michael? (TV),7.1,45.0,27-52,TV
Brandish,6.83,2.0,2-6,OVA
My Imouto: Koakuma na A-Cup,6.76,2.0,2-6,OVA
Otome Dori,5.98,2.0,2-6,OVA
Injuu Seisen XX,5.4,4.0,2-6,OVA
Queen's Blade OVA Specials,6.18,2.0,2-6,Special
Natsu-iro Kiseki,7.04,12.0,7-13,TV
Yurumates 3D,6.34,13.0,7-13,TV
30-sai no Hoken Taiiku Specials,6.29,3.0,2-6,Special
AKB0048,7.48,13.0,7-13,TV
Busou Chuugakusei: Basket Army,5.83,5.0,2-6,ONA
Koi to Senkyo to Chocolate,7.22,12.0,7-13,TV
Nihon Omoshiro Mukashibanashi,6.3,12.0,7-13,TV
Mameushi-kun,6.27,52.0,27-52,TV
Hyouka,8.15,22.0,14-26,TV
Smile Precure!,7.19,48.0,27-52,TV
Koi-ken!: Watashitachi Anime ni Nacchatta!,5.85,12.0,7-13,ONA
Manyuu Hikenchou Picture Drama,5.8,4.0,2-6,Special
Game Center Arashi,6.0,26.0,14-26,TV
Rinne no Lagrange Season 2,7.03,12.0,7-13,TV
Acchi Kocchi (TV),7.6,12.0,7-13,TV
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,7.26,13.0,7-13,TV
Upotte!!,6.57,10.0,7-13,ONA
Thermae Romae,7.09,3.0,2-6,TV
Soukou Kihei Votoms Recaps,6.48,4.0,2-6,OVA
Dirty Pair Flash 2,6.74,5.0,2-6,OVA
Dirty Pair Flash 3,6.64,5.0,2-6,OVA
Pecola,5.89,26.0,14-26,TV
Track City,6.37,26.0,14-26,TV
Bakuman. 3rd Season,8.65,25.0,14-26,TV
Shining Hearts: Shiawase no Pan,6.18,12.0,7-13,TV
Maki-chan to Now.,7.57,4.0,2-6,OVA
Mouretsu Atarou (1990),6.39,34.0,27-52,TV
Original Video Romance Animation,5.11,2.0,2-6,OVA
Yuru Yuri♪♪,7.91,12.0,7-13,TV
UN-GO: Inga Nikki,6.22,10.0,7-13,ONA
Jormungand,7.92,12.0,7-13,TV
Last Exile: Ginyoku no Fam Recaps,6.52,2.0,2-6,Special
Uchuu Kyoudai,8.55,99.0,53-100,TV
Tasogare Otome x Amnesia,7.93,12.0,7-13,TV
Ben-To Picture Drama,6.16,6.0,2-6,Special
Maken-Ki! Specials,6.27,6.0,2-6,Special
Yuu☆Yuu☆Hakusho: Mu Mu Hakusho,6.71,4.0,2-6,OVA
Hiiro no Kakera,6.87,13.0,7-13,TV
Nazo no Kanojo X,7.34,13.0,7-13,TV
Eureka Seven AO,6.79,24.0,14-26,TV
Gregory Horror Show: The Second Guest,6.82,25.0,14-26,TV
Gregory Horror Show: The Last Train,6.51,26.0,14-26,TV
Gregory Horror Show: The Bloody Karte,6.02,12.0,7-13,Special
Kyoukaisenjou no Horizon II,7.64,13.0,7-13,TV
Mirai Nikki (TV): Ura Mirai Nikki,6.67,10.0,7-13,Special
Sakamichi no Apollon,8.43,12.0,7-13,TV
"Dakara Boku wa, H ga Dekinai.",6.84,12.0,7-13,TV
Itsuka Tenma no Kuro Usagi Picture Drama,6.28,6.0,2-6,Special
Inazuma Eleven Go: Tokubetsu-hen,6.8,2.0,2-6,Special
Sengoku Collection,6.49,26.0,14-26,TV
Morizo to Kikkoro,5.63,52.0,27-52,TV
Danball Senki W,7.24,58.0,53-100,TV
Amagami SS+ Plus Specials,7.3,6.0,2-6,Special
Ozma,6.13,6.0,2-6,TV
Joshiraku,7.53,13.0,7-13,TV
Tight-rope,7.23,2.0,2-6,OVA
Tales of Gekijou,6.72,5.0,2-6,Special
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,7.15,3.0,2-6,Special
Uta no☆Prince-sama♪ Maji Love 2000%,7.44,13.0,7-13,TV
The Hakkenden: Shin Shou,6.64,7.0,7-13,OVA
High School DxD OVA,7.43,2.0,2-6,OVA
Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.36,25.0,14-26,TV
Zoku Zoku Mura no Obaketachi,6.13,12.0,7-13,OVA
Yumemakura Baku Twilight Gekijou,5.58,4.0,2-6,OVA
Yoshimoto Muchikko Monogatari,4.95,47.0,27-52,TV
Yankee Reppuu-tai,5.68,6.0,2-6,OVA
Yanbo Ninbo Tonbo,5.79,39.0,27-52,TV
Yajikita Gakuen Douchuuki,5.83,2.0,2-6,OVA
Wonder Bebil-kun,6.53,30.0,27-52,TV
Shirokuma Cafe,8.0,50.0,27-52,TV
Shakugan no Shana III (Final) Specials,7.19,2.0,2-6,Special
Ushiro no Hyakutarou,5.83,2.0,2-6,OVA
Pretty Rhythm: Dear My Future,6.87,51.0,27-52,TV
Ginga e Kickoff!!,7.34,39.0,27-52,TV
Tsuritama,7.78,12.0,7-13,TV
Dynamic Super Robots Soushingekki,6.57,3.0,2-6,Special
Danshi Koukousei no Nichijou Specials,7.92,6.0,2-6,Special
Sekiei Ayakashi Mangatan,5.81,3.0,2-6,ONA
Saint Seiya Omega,6.44,97.0,53-100,TV
AWOL,5.67,12.0,7-13,TV
Cele Kano,6.4,2.0,2-6,OVA
First Love,6.84,3.0,2-6,OVA
Ojousama☆Yomeiri Kousou!,7.03,2.0,2-6,OVA
Kansen 5: The Daybreak,6.58,3.0,2-6,OVA
Jewelpet Kira☆Deco!,6.79,52.0,27-52,TV
Arcana Famiglia,6.39,12.0,7-13,TV
Naruto SD: Rock Lee no Seishun Full-Power Ninden,7.24,51.0,27-52,TV
Katte ni Kaizou Specials,6.61,3.0,2-6,Special
Dark Blue,6.09,2.0,2-6,OVA
Please ♥♥♥♥ Me!,6.93,2.0,2-6,OVA
Arashi no Yoru ni: Himitsu no Tomodachi,6.84,26.0,14-26,TV
Sankarea OVA,7.33,2.0,2-6,OVA
Peace Hame!,7.17,6.0,2-6,OVA
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,7.29,2.0,2-6,Special
Hakuouki Reimeiroku,7.59,12.0,7-13,TV
Shinsekai yori,8.45,25.0,14-26,TV
Gakkatsu!,6.54,25.0,14-26,TV
Shibainuko-san,5.82,26.0,14-26,TV
Baku Tech! Bakugan,6.16,51.0,27-52,TV
Cardfight!! Vanguard: Asia Circuit-hen,7.0,39.0,27-52,TV
Kuromajo-san ga Tooru!!,6.5,60.0,53-100,TV
Hagure Yuusha no Aesthetica,7.13,12.0,7-13,TV
Paboo & Mojies,5.0,52.0,27-52,TV
Zoobles!,5.67,26.0,14-26,TV
Little Charo,6.08,50.0,27-52,TV
Little Charo 2,5.69,50.0,27-52,TV
Fate/Zero Remix,7.18,2.0,2-6,Special
Juusen Battle Monsuno,6.43,52.0,27-52,TV
Monster Farm: Legend e no Michi,6.84,25.0,14-26,TV
Lupin the Third: Mine Fujiko to Iu Onna,7.82,13.0,7-13,TV
Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,5.79,9.0,7-13,TV
Himesama Gentei!,6.96,2.0,2-6,OVA
Kyonyuu Fantasy,7.44,2.0,2-6,OVA
Metal Fight Beyblade Zero G,6.39,38.0,27-52,TV
Shin Tennis no Ouji-sama Specials,7.6,7.0,7-13,Special
Shin Hikari Shinwa: Palutena no Kagami,6.49,3.0,2-6,ONA
Inazuma Eleven Go: Chrono Stone,7.36,51.0,27-52,TV
Fate/Zero: Onegai! Einzbern Soudanshitsu,6.72,6.0,2-6,Special
Shinryaku!! Ika Musume,7.54,3.0,2-6,OVA
One Off,6.47,4.0,2-6,OVA
Crimson Girls: Chikan Shihai,6.53,3.0,2-6,OVA
Jormungand: Perfect Order,8.0,12.0,7-13,TV
Tari Tari,7.38,13.0,7-13,TV
Chouyaku Hyakuninisshu: Uta Koi.,7.53,13.0,7-13,TV
High School DxD Specials,7.37,6.0,2-6,Special
"Kono Naka ni Hitori, Imouto ga Iru!",6.76,12.0,7-13,TV
Recorder to Randoseru Re♪,6.94,13.0,7-13,TV
Okusama wa Michael,6.2,2.0,2-6,OVA
Doudou,5.61,2.0,2-6,OVA
Moyashimon Returns,7.24,11.0,7-13,TV
PES: Peace Eco Smile,5.7,7.0,7-13,ONA
Sakasama no Patema: Beginning of the Day,7.45,4.0,2-6,Special
Himitsukessha Taka no Tsume NEO,5.88,38.0,27-52,TV
himitsukesshatakanotsume.jp,5.83,78.0,53-100,ONA
Shippuu! Iron Leaguer: Silver no Hata no Moto ni,6.55,5.0,2-6,OVA
Zumomo to Nupepe,6.22,32.0,27-52,TV
Ribbon-chan,5.25,24.0,14-26,TV
Little Charo: Touhoku-hen,5.36,12.0,7-13,TV
Cofun Gal no Coffy (TV),5.81,11.0,7-13,TV
Cofun Gal no Coffy Campus Life,4.94,11.0,7-13,TV
Binbougami ga!,7.81,13.0,7-13,TV
Shuukan Storyland,6.64,56.0,53-100,TV
Guilty Crown: 4-koma Gekijou,7.16,11.0,7-13,Special
Natsuyuki Rendezvous,7.33,11.0,7-13,TV
"Suki de Suki de, Suki de The Animation",7.02,2.0,2-6,OVA
Robotics;Notes,7.4,22.0,14-26,TV
Psycho-Pass,8.43,22.0,14-26,TV
Little Busters!,7.6,26.0,14-26,TV
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,7.26,13.0,7-13,TV
To LOVE-Ru Darkness,7.68,12.0,7-13,TV
Tottoko Hamtarou Hai!,6.69,77.0,53-100,TV
Nekogami Yaoyorozu Specials,6.33,7.0,7-13,Special
Mashiro-iro Symphony: The Color of Lovers Picture Drama,6.54,2.0,2-6,Special
Sakurasou no Pet na Kanojo,8.31,24.0,14-26,TV
Junjou Romantica OVA,8.02,2.0,2-6,OVA
Kamen no Ninja Akakage,6.53,23.0,14-26,TV
Uhou Renka,6.88,2.0,2-6,OVA
Kamiusagi Rope,5.47,14.0,14-26,Movie
Kamiusagi Rope 2,5.31,12.0,7-13,Movie
Kamiusagi Rope x au Collaboration,4.83,6.0,2-6,ONA
Kamiusagi Rope 3 (ONA),5.22,2.0,2-6,ONA
Wild Adapter,6.25,2.0,2-6,OVA
To LOVE-Ru Darkness OVA,7.73,6.0,2-6,OVA
Queen's Blade: Rebellion Specials,6.2,6.0,2-6,Special
Accel World: Acchel World.,6.31,8.0,7-13,Special
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,7.38,3.0,2-6,OVA
Saishuu Chikan Densha Next,6.74,2.0,2-6,OVA
Accel World EX,7.24,2.0,2-6,OVA
Dennou Coil Recaps,6.41,2.0,2-6,Special
Mangirl!,5.98,13.0,7-13,TV
Ikusa Otome Valkyrie G,6.58,2.0,2-6,OVA
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,6.28,10.0,7-13,ONA
Zetsuen no Tempest,8.1,24.0,14-26,TV
Blood-C: None-None Gekijou,6.29,7.0,7-13,ONA
Pokemon Best Wishes! Season 2,6.62,24.0,14-26,TV
Kamen Rider Fourze x Crayon Shin-chan,6.05,4.0,2-6,Special
