name,score,episodes,episode_group,type
Maria-sama ga Miteru: Haru,7.78,13.0,7-13,TV
Tales of Eternia The Animation,6.28,13.0,7-13,TV
Weiß Kreuz Glühen,6.66,13.0,7-13,TV
Weiß Kreuz,6.8,25.0,14-26,TV
Fantastic Children,7.63,26.0,14-26,TV
Gokujou Seitokai,7.02,26.0,14-26,TV
Mushishi,8.73,26.0,14-26,TV
Buttobi!! CPU,6.34,3.0,2-6,OVA
Ghost in the Shell: Stand Alone Complex,8.46,26.0,14-26,TV
Karin,7.27,24.0,14-26,TV
Okusama wa Joshikousei (TV),6.42,13.0,7-13,TV
To Heart 2,6.59,13.0,7-13,TV
To Heart,6.66,13.0,7-13,TV
Tide-Line Blue,6.72,12.0,7-13,TV
Macross Plus,7.78,4.0,2-6,OVA
Ginban Kaleidoscope,7.43,12.0,7-13,TV
Sousei no Aquarion,7.17,26.0,14-26,TV
Ueki no Housoku,7.84,51.0,27-52,TV
Kurau Phantom Memory,7.41,24.0,14-26,TV
Damekko Doubutsu,7.38,26.0,14-26,TV
Kino no Tabi: The Beautiful World,8.41,13.0,7-13,TV
Girls Bravo: Second Season,6.81,13.0,7-13,TV
Kamichu!,7.46,12.0,7-13,TV
Paniponi Dash!,7.52,26.0,14-26,TV
Bakuretsu Hunters,6.8,26.0,14-26,TV
Yami to Boushi to Hon no Tabibito,6.66,13.0,7-13,TV
Haja Taisei Dangaiou,6.22,3.0,2-6,OVA
Doraemon,7.44,26.0,14-26,TV
Eien no Aselia,5.57,2.0,2-6,OVA
Fushigiboshi no☆Futagohime,7.39,51.0,27-52,TV
Glass no Kamen,7.46,23.0,14-26,TV
Gravitation: Lyrics of Love,7.07,2.0,2-6,OVA
I My Me! Strawberry Eggs,6.88,13.0,7-13,TV
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.93,13.0,7-13,TV
Cossette no Shouzou,6.93,3.0,2-6,OVA
Mahou no Princess Minky Momo,6.79,63.0,53-100,TV
Mahoraba: Heartful days,7.39,26.0,14-26,TV
Otogizoushi,7.04,26.0,14-26,TV
Boku no Chikyuu wo Mamotte,7.24,6.0,2-6,OVA
Saishuu Heiki Kanojo,7.25,13.0,7-13,TV
Bishoujo Senshi Sailor Moon,7.74,46.0,27-52,TV
Bishoujo Senshi Sailor Moon S,7.91,38.0,27-52,TV
