Year,Genre,Average Score,Count
2000.0,Sci-Fi,6.834827586206896,29
2000.0,Drama,6.654615384615384,26
2000.0,Romance,6.599375,16
2000.0,Shounen,7.147200000000001,25
2000.0,Slice of Life,6.128333333333334,6
2000.0,School,6.026249999999999,8
2001.0,Comedy,6.677000000000001,60
2001.0,Action,6.690476190476191,42
2001.0,Adventure,6.817027027027026,37
2001.0,Fantasy,6.6692857142857145,28
2001.0,Sci-Fi,6.6290000000000004,40
2001.0,Drama,6.799411764705882,34
2001.0,Romance,6.673043478260871,23
2001.0,Shounen,6.964642857142858,28
2001.0,Slice of Life,6.6899999999999995,17
2001.0,School,6.927,10
2002.0,Comedy,6.888275862068967,58
2002.0,Action,6.776279069767443,43
2002.0,Adventure,6.827297297297297,37
2002.0,Fantasy,6.708571428571429,28
2002.0,Sci-Fi,6.8222000000000005,50
2002.0,Drama,6.99,32
2002.0,Romance,6.789655172413793,29
2002.0,Shounen,6.864285714285715,35
2002.0,Slice of Life,6.97,15
2002.0,School,6.644285714285713,14
2003.0,Comedy,6.729846153846154,65
2003.0,Action,6.9308695652173915,46
2003.0,Adventure,6.824146341463415,41
2003.0,Fantasy,6.74030303030303,33
2003.0,Sci-Fi,6.8020000000000005,50
2003.0,Drama,6.941666666666666,36
2003.0,Romance,6.699354838709676,31
2003.0,Shounen,6.91611111111111,36
2003.0,Slice of Life,6.770625,16
2003.0,School,6.8184615384615395,13
2004.0,Comedy,6.6908988764044945,89
2004.0,Action,7.052800000000001,50
2004.0,Adventure,6.825833333333333,48
2004.0,Fantasy,6.8660000000000005,30
2004.0,Sci-Fi,6.917058823529412,51
2004.0,Drama,7.072,60
2004.0,Romance,6.77904761904762,42
2004.0,Shounen,7.080697674418605,43
2004.0,Slice of Life,6.916470588235295,17
2004.0,School,6.540769230769232,26
2005.0,Comedy,6.800909090909091,77
2005.0,Action,7.1651612903225805,31
2005.0,Adventure,6.980322580645162,31
2005.0,Fantasy,6.767674418604651,43
2005.0,Sci-Fi,6.924137931034483,29
2005.0,Drama,7.098867924528301,53
2005.0,Romance,7.0158000000000005,50
2005.0,Shounen,7.122000000000002,30
